지역,날짜,오존(O3),미세먼지(PM10),초미세먼지(PM2.5)
수원,2018-05-09,0.03290909090909087,26.601190476190478,10.72289156626506
수원,2018-05-10,0.03750595238095237,47.527272727272724,24.103658536585368
수원,2018-05-11,0.043678787878787914,65.57142857142857,36.204819277108435
수원,2018-05-12,0.020928571428571404,34.82035928143713,19.598765432098766
수원,2018-05-13,0.032577380952380934,26.66666666666667,15.784431137724551
수원,2018-05-14,0.03697546012269938,74.03614457831327,40.83734939759036
수원,2018-05-15,0.034598802395209585,85.26086956521739,47.257668711656436
수원,2018-05-16,0.013923566878980869,39.24375,21.677631578947373
수원,2018-05-17,0.011467105263157876,19.753333333333334,9.615384615384617
수원,2018-05-18,0.013976190476190463,12.497005988023954,6.664670658682635
수원,2018-05-19,0.0395297619047619,14.25,5.7559523809523805
수원,2018-05-20,0.03614285714285713,14.214285714285715,6.7125748502994025
수원,2018-05-21,0.0339693251533742,21.390243902439025,11.024242424242425
수원,2018-05-22,0.03155357142857142,36.38095238095238,18.68125
수원,2018-05-23,0.04236746987951806,45.06024096385542,11.554216867469881
수원,2018-05-24,0.040383233532934125,93.375,22.029761904761905
수원,2018-05-25,0.04421556886227543,99.29341317365271,31.215568862275447
수원,2018-05-26,0.05257142857142853,84.9880239520958,35.32142857142857
수원,2018-05-27,0.045898809523809474,69.05357142857143,24.636904761904763
수원,2018-05-28,0.037081081081081074,55.42857142857143,26.47826086956522
수원,2018-05-29,0.04001379310344829,46.523178807947026,26.564285714285717
수원,2018-05-30,0.03635714285714283,43.80864197530864,23.60431654676259
수원,2018-05-31,0.03744047619047615,49.75609756097561,28.11920529801325
수원,2018-06-01,0.03664285714285714,47.711656441717786,24.91666666666667
수원,2018-06-02,0.04164880952380951,38.16666666666666,21.303571428571427
수원,2018-06-03,0.03949404761904758,36.365269461077844,22.714285714285715
수원,2018-06-04,0.028914110429447824,46.49404761904761,28.11309523809524
수원,2018-06-05,0.034981707317073146,52.29166666666666,33.9940119760479
수원,2018-06-06,0.033041666666666636,61.88095238095239,42.77380952380953
수원,2018-06-07,0.029345454545454532,50.87951807228915,33.8855421686747
수원,2018-06-08,0.03389285714285712,38.383233532934135,23.529761904761905
수원,2018-06-09,0.03684523809523809,44.58787878787879,25.934523809523807
수원,2018-06-10,0.03607142857142855,13.613095238095234,7.439024390243902
수원,2018-06-11,0.02083734939759034,15.095808383233535,7.779761904761906
수원,2018-06-12,0.02069753086419751,17.622754491017965,9.053892215568863
수원,2018-06-13,0.029994011976047886,31.92771084337349,18.718562874251496
수원,2018-06-14,0.028970238095238094,27.306748466257673,16.4047619047619
수원,2018-06-15,0.033101796407185614,16.577380952380953,8.244047619047619
수원,2018-06-16,0.034428571428571426,27.482142857142854,14.269461077844312
수원,2018-06-17,0.03967857142857142,49.04216867469879,27.892857142857146
수원,2018-06-18,0.03349390243902437,54.55357142857143,33.017857142857146
수원,2018-06-19,0.032490322580645145,52.03773584905661,31.38993710691824
수원,2018-06-20,0.034381944444444416,47.70909090909091,31.309523809523807
수원,2018-06-21,0.044943661971830966,43.53571428571429,27.476190476190478
수원,2018-06-22,0.038680555555555565,44.29166666666666,26.339285714285715
